Gridcode,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Ave,bio12,GI,HD,IN
100001,1568.073,1313.894,1294.504,1384.64,1272.579,1364.515,1468.617,1180.339,1191.98,1203.147,1390.336,1257.475,1448.836,1105.141,1271.785,1646.444,1407.407,1225.867,1255.1,1345.967,1475.335,1143.152,1718.371,1291.76,1442.497,1502.282,1441.524,956.55,1455.642,1489.333,1531.242,1234.768,1420.292,1410.989,1374.986,1335.691,1732.832,1394.24,1010.213,1495.168,1454.06,1523.267,1219.359,1261.269,1012.242,1251.769,1377.467,1936.222,1436.967,1451.984,1178.008,1012.661,1172.662,1454.617,1505.153,1094.56,845.946,1380.162,1583.874,1803.123,1785.548,926.478,1246.311,1296.359,1284.629,1172.258,1625.737,1319.474,1942.135,1931.167,1165.004,1138.771,1420.496,1516.04,1169.545,1269.852,1433.763,1346.276,1435.901,1359.475,1243.448,1315.048,1393.89,1607.306,1003.293,1059.37,1042.956,1096.82,1379.117,871.123,1015.683,1357.004,1387.563,1005.847,1445.753,1657.472,1322.742,1714.929,1411.263,1730.745,1105.947,1347.142,1569.564,1566.214,1295.377,1517.366,1564.017,1606.792,1382.821,1301.429,1381.487,1270.527,1503.518,1426.424,1323.477,1407.035,1658.641,1734.802,1628.933,1531.991,1968.154,1212.861,1705.14,1376.139,1247.082,1095.279,1179.361,1123
100002,1610.058,1352.157,1324.425,1367.928,1283.221,1372.039,1474.925,1178.822,1214.488,1206.574,1468.389,1331.632,1472.803,1090.491,1362.796,1650.679,1463.692,1265.133,1310.246,1312.107,1562.593,1140.863,1798.368,1374.174,1393.485,1472.406,1480.682,1038.337,1501.189,1574.732,1547.138,1267.274,1494.62,1520.138,1440.322,1432.702,1756.6,1453.61,987.383,1534.572,1501.551,1599.628,1302.482,1255.318,1076.631,1265.259,1429.872,2020.202,1541.596,1512.661,1211.163,1044.132,1215.321,1480.38,1539.488,1134.073,869.883,1388.931,1652.503,1892.824,1777.149,968.801,1232.681,1326.281,1431.153,1219.425,1632.598,1378.156,1963.129,1948.737,1083.016,1009.693,1408.869,1373.282,1089.434,1195.763,1372.797,1345.551,1464.33,1332.14,1330.308,1355.372,1379.036,1605.064,1027.628,1158.645,995.396,1099.264,1450.699,860.38,962.969,1398.871,1412.364,1123.191,1637.754,1645.096,1326.275,1672.86,1409.828,1573.982,1082.763,1339.714,1370.075,1372.419,1014.618,1364.249,1178.711,1640.04,1210.257,1306.772,1388.856,1289.218,1389.243,1455.47,1069.144,1356.629,1374.651,1482.965,1373.37,1421.635,1985.96,1353.417,1586.914,1375.632,1338.827,1175.154,1270.827,1205
100003,1680.251,1413.446,1267.921,1432.577,1336.96,1456.637,1541.509,1220.427,1209.354,1393.327,1463.093,1244.282,1501.565,1191.759,1268.689,1658.054,1398.765,1273.779,1308.067,1439.616,1481.733,1251.281,1821.221,1302.825,1537.738,1554.259,1471.217,1024.977,1511.148,1593.411,1598.224,1261.577,1438.818,1428.857,1467.079,1409.245,1744.375,1479.289,1103.59,1526.238,1470.313,1579.365,1315.892,1346.074,1059.037,1331.984,1359.479,2004.413,1462.149,1528.644,1275.593,1086.882,1257.595,1477.322,1484.777,1182.535,980.202,1505.783,1618.964,1839.968,1810.606,1067.015,1318.041,1345.104,1384.833,1218.517,1568.811,1327.136,1841.852,1943.457,1257.741,1284.602,1414.465,1471.201,1307.639,1254.745,1552.38,1418.719,1505.126,1374.044,1244.714,1236.621,1463.431,1603.781,1042.191,1181.213,1166.431,1241.78,1303.136,1070.294,1083.698,1491.713,1284.577,1052.746,1545.25,1771.105,1268.337,1621.419,1431.936,1824.279,1239.799,1529.382,1648.444,1682.7,1401.447,1508.29,1372.983,1535.887,1523.231,1238.666,1399.675,1337.264,1539.872,1454.319,1345.368,1313.024,1618.576,1789.196,1379.341,1489.474,1799.727,1270.714,1662.091,1419.092,1294,1135.903,1234.111,1172.5
100004,1675.346,1425.185,1318.389,1420.04,1340.669,1457.489,1511.916,1211.857,1233.913,1316.383,1538.922,1333.065,1508.023,1180.432,1363.243,1657.95,1452.971,1288.854,1362.56,1391.848,1575.538,1218.686,1819.164,1382.279,1477.444,1523.561,1524.815,1119.13,1531.523,1632.742,1632.263,1293.837,1514.003,1567.618,1530.034,1468.776,1796.299,1544.108,1063.11,1566.933,1529.302,1616.816,1374.556,1359.327,1129.037,1315.401,1415.065,2057.168,1591.374,1533.381,1283.37,1057.047,1316.498,1538.741,1522.031,1163.984,972.366,1566.365,1593.905,1934.72,1780.62,1040.844,1263.195,1353.373,1492.726,1285.255,1581.284,1391.35,1845.034,1913.378,1109.073,1049.416,1368.832,1285.723,1145.382,1148.508,1394.023,1391.628,1428.568,1344.866,1290.272,1465.824,1418.748,1651.301,1131.61,1109.951,1180.3,1314.683,1431.397,928.969,1266.564,1597.595,1311.278,1271.218,1684.906,1656.567,1268.247,1580.356,1400.589,1662.026,1287.657,1406.356,1464.486,1485.915,1224.823,1425.9,1171.646,1360.024,1379.27,1296.913,1353.01,1331.862,1603.402,1489.071,1209.257,1355.68,1456.747,1749.851,1342.988,1480.822,2019.323,1243.035,1638.495,1419.946,1410.375,1239.875,1354.172,1276.609
100005,1620.969,1478.954,1541.958,1432.042,1428.214,1425.054,1649.38,1199.363,1382.658,1288.142,1607.613,1500.996,1529.455,1211.758,1508.873,1784.794,1572.909,1314.307,1444.849,1459.065,1679.675,1287.777,1951.92,1404.761,1614.649,1680.581,1681.291,1213.064,1468.214,1581.739,1764.375,1354.733,1648.28,1568.204,1514.017,1424.778,1936.91,1499.05,1139.778,1469.278,1600.844,1505.961,1452.49,1370.167,1067.474,1300.748,1504.525,2144.206,1811.372,1523.596,1208.573,1040.605,1263.362,1719.287,1692.972,1188.837,937.614,1587.369,1728.05,2094.383,1850.542,1036.955,1200.807,1373.173,1513.522,1409.166,1854.437,1554.897,2043.251,1968.134,1169.42,1176.915,1561.276,1437.827,1208.841,1149.838,1408.5,1518.456,1375.94,1513.79,1365.914,1503.752,1657.305,1648.061,1386.211,1222.024,1315.885,1234.977,1377.595,906.432,1304.671,1697.974,1417.378,1450.057,1920.086,1860.129,1413.893,1754.135,1412.01,1530.361,1425.006,1548.112,1465.237,1549.093,1216.596,1431.49,1212.972,1526.858,1459.465,1393.545,1492.815,1474.211,1940.413,1723.848,1370.35,1589.377,1549.741,1730.055,1459.677,1791.242,2268.754,1515.955,1782.919,1501.05,1475.405,1304.73,1435.27,1339.811
100006,1777.063,1510.14,1260.035,1516.582,1402.902,1526.311,1648.135,1262.983,1305.601,1645.464,1469.651,1252.059,1535.381,1261.36,1254.217,1698.847,1344.246,1357.879,1328.94,1515.836,1406.177,1414.951,2037.772,1265.498,1624.842,1653.062,1510.324,1042.268,1544.511,1540.577,1693.37,1329.909,1485.038,1362.292,1511.962,1504.67,1768.881,1471.59,1260.983,1498.077,1480.572,1552.029,1253.712,1261.881,1065.979,1369.07,1456.267,1897.862,1462.218,1514.814,1160.852,1231.287,1320.641,1523.921,1507.568,1291.891,982.61,1512.407,1758.939,1809.113,1790.838,1102.143,1464.871,1250.428,1315.498,1229.636,1428.303,1279.417,1884.92,1876.608,1659.089,1607.898,1639.47,1745.409,1486.584,1459.559,1620.783,1595.746,1569.221,1526.636,1241.282,1115.619,1626.008,1884.809,1229.178,1082.339,1412.817,1202.428,1038.635,1203.042,1050.27,1425.613,1328.591,1446.807,1534.343,1973.022,1227.523,1419.927,1421.794,1478.483,1032.834,1661.28,1746.898,1793.031,1368.998,1513.861,1375.813,1266.089,1694.905,1384.718,1361.254,1373.325,1524.012,1570.653,1345.45,1327.226,1590.868,2177.521,1149.464,1454.809,1600.118,1465.25,1730.017,1460.146,1297.086,1142.357,1254.843,1199.157
100007,1674.521,1428.283,1235.246,1437.863,1336.197,1481.599,1499.662,1245.407,1205.196,1380.647,1484.523,1190.572,1531.176,1203.652,1212.041,1575.704,1292.346,1212.158,1323.097,1370.384,1417.451,1234.189,1658.672,1261.806,1595.029,1545.337,1471.461,1093.456,1497.49,1560.108,1630.573,1244.155,1395.775,1419.299,1522.268,1396.068,1630.931,1491.583,1107.244,1535.637,1437.036,1566.548,1337.922,1342.26,1107.995,1342.126,1349.025,1963.83,1469.117,1478.103,1282.849,1085.404,1304.932,1543.289,1519.545,1183.242,1009.582,1657.048,1604.789,1821.282,1712.23,1048.194,1317.132,1228.231,1363.523,1209.707,1449.849,1277.735,1647.117,1788.327,1317.098,1357.455,1278.54,1373.935,1292.966,1258.196,1469.796,1361.794,1406.594,1320.24,1204.584,1109.057,1441.572,1453.484,1079.2,1177.795,1295.208,1203.745,1119.327,1250.446,1060.736,1482.356,1326.278,1371.203,1695.205,1689.951,1317.855,1547.41,1375.629,1834.797,1195.841,1470.877,1706.966,1607.035,1353.966,1551.886,1236.654,1241.444,1616.927,1355.463,1366.536,1368.967,1442.184,1463.714,1334.299,1262.934,1571.019,1818.488,1163.748,1384.859,1656.959,1338.601,1645.999,1399.224,1328.597,1174.792,1287.111,1220.403
100008,1580.319,1322.624,1247.842,1401.673,1253.092,1409.546,1369.605,1163.018,1125.726,1181.858,1446.647,1190.078,1498.682,1103.798,1182.445,1501.752,1231.883,1135.908,1259.037,1261.558,1403.068,1164.127,1483.236,1242.935,1529.085,1434.741,1438.658,1090.5,1441.591,1476.416,1608.672,1187.854,1400.585,1434.888,1469.771,1328.391,1585.674,1408.742,1011.194,1457.626,1402.796,1496.816,1288.072,1232.121,1052.223,1241.094,1325.01,1902.874,1434.897,1407.176,1275.587,1053.403,1252.97,1506.962,1491.782,1052.832,907.124,1651.068,1466.714,1819.671,1482.015,963.842,1168.708,1149.183,1322.575,1086.683,1327.298,1240.414,1401.302,1573.774,1086.304,1002.756,1166.027,1097.557,974.776,1097.791,1176.681,1238.568,1247.552,1179.927,1144.692,1116.222,1270.547,1400.186,1024.497,1165.392,1238.369,1250.031,1137.164,896.856,1081.281,1470.962,1269.716,1306.027,1779.639,1529.573,1185.041,1498.699,1444.265,1604.174,1150.075,1273.619,1319.025,1415.528,1205.452,1336.89,1021.788,1120.05,1301.297,1229.271,1338.996,1372.44,1459.665,1393.904,1217.078,1246.966,1450.906,1709.54,1322.567,1503.967,2073.029,1225.058,1561.976,1315.221,1417.047,1257.656,1385.281,1297.531
100009,1610.145,1498.751,1549.817,1441.884,1433.903,1449.418,1642.488,1201.777,1344.818,1304.767,1550.552,1393.405,1574.284,1218.245,1368.949,1754.693,1450.421,1232.124,1405.462,1479.549,1530.968,1425.126,1869.414,1279.817,1806.176,1712.221,1695.619,1232.367,1481.74,1600.28,1806.626,1460.54,1616.321,1652.945,1570.407,1434.124,1937.837,1466.889,1102.641,1448.73,1578.687,1505.185,1455.857,1355.336,1032.74,1256.403,1449.746,2158.4,1818.102,1557.278,1331.334,1076.278,1304.646,1749.143,1782.341,1083.522,942.342,1709.87,1607.52,1985.781,1647.51,982.812,1197.183,1338.939,1560.578,1353.694,1746.984,1554.657,1773.264,1807.92,1253.551,1108.562,1516.365,1418.433,1207.757,1194.697,1424.03,1454.47,1331.133,1475.758,1350.954,1369.561,1598.299,1596.883,1408.358,1493.361,1576.245,1345.942,1109.487,911.577,1333.39,1745.568,1365.865,1353.516,1896.28,1790.361,1489.687,1719.481,1522.028,1624.475,1385.208,1497.172,1497.833,1519.645,1159.209,1449.623,1251.437,1546.328,1400.57,1614.942,1663.716,1372.825,1772.618,1644.522,1522.682,1460.605,1515.548,1897.755,1556.206,2020.439,2696.809,1537.327,1931.291,1501.144,1528.844,1373.859,1524.078,1404.547
100010,1747.099,1491.194,1221.638,1455.689,1342.33,1487.706,1583.348,1174.795,1281.144,1599.27,1395.027,1180.276,1511.424,1226.146,1212.777,1628.531,1237.702,1264.613,1261.923,1411.117,1369.173,1368.966,2050.856,1218.521,1596.195,1579.376,1486.238,1031.678,1559.864,1446.163,1647.683,1327.819,1385.936,1311.295,1408.41,1457.05,1737.653,1468.974,1196.172,1686.742,1458.54,1469.189,1323.25,1291.519,1026.585,1348.16,1355.473,1928.891,1302.579,1462.082,1106.115,1421.94,1299.753,1530.518,1464.883,1280.991,974.121,1656.297,1679.803,1853.617,1593.288,1111.845,1573.171,1175.208,1113.399,1286.532,1346.848,1406.351,1716.462,1733.108,1694.642,1554.433,1589.907,1567.06,1440.401,1369.836,1390.882,1500.953,1457.12,1502.886,1282.375,1053.08,1656.412,1843.302,1276.052,1311.102,1290.335,1529.814,1062.143,1179.526,1031.023,1497.34,1311.469,1357.897,1426.439,1911.179,1200.945,1243.241,1397.213,1388.263,1139.697,1565.626,1628.011,1801.549,1384.451,1784.327,1392.117,1078.715,1627.624,1292.798,1450.689,1420.03,1304.859,1732.91,1616.837,1657.693,1705.313,2004.676,1404.632,1602.82,1593.071,1523.699,1933.967,1441.483,1316.069,1163.897,1288.931,1248.069
