Coreid,Record_basis,Order,Family,Genus,Species,type,year,month,Day,State,longitude,latitude,altitude,presence,mean.spring.temp,mean.winter.temp,mean.temp,precip.spring,precip.total,temp.var,precip.var,Domain,Bio,Climate_zone,date,julian,mean.T,mean.P,T_anm,P_anm,Region,BIO4,BIO7,BIO10,BIO11,BIO15,BIO16,BIO17,Probability
20323596,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2008,4,25,Massachusetts,-70.921,42.269,0,1,8.274,-0.944,10.462,295.21,1491.368,8.519,49.63,Northeast,Cold,Cold,2008/4/25,116,10.047,1193.552,0.415,1.25,high,8.519,23.759,21.432,0.768,49.63,642.75,188.773,0.45682
20323597,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2010,4,30,Massachusetts,-70.918,42.269,0,1,11.11,-1.521,11.393,556.87,1420.843,9.408,91.697,Northeast,Cold,Cold,2010/4/30,120,10.047,1193.552,1.346,1.19,high,9.408,26.426,22.519,-0.775,91.697,757.315,131.82,0.45682
20323653,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2006,4,28,Massachusetts,-71.003,42.321,0,1,8.869,0.666,11.523,416.531,1480.964,8.103,81.226,Northeast,Cold,Cold,2006/4/28,118,10.369,1084.035,1.154,1.366,high,8.103,24.608,21.808,1.652,81.226,794.272,112.676,0.42099
20323654,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2006,4,28,Massachusetts,-71.009,42.317,0,1,8.869,0.666,11.523,416.531,1480.964,8.103,81.226,Northeast,Cold,Cold,2006/4/28,118,10.369,1084.035,1.154,1.366,high,8.103,24.608,21.808,1.652,81.226,794.272,112.676,0.42099
20323657,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2006,5,3,Massachusetts,-71.003,42.321,0,1,8.869,0.666,11.523,416.531,1480.964,8.103,81.226,Northeast,Cold,Cold,2006/5/3,123,10.369,1084.035,1.154,1.366,high,8.103,24.608,21.808,1.652,81.226,794.272,112.676,0.42099
20323659,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2006,5,28,Massachusetts,-70.877,42.264,10,1,8.386,0.437,11.038,415.835,1626.214,7.973,82.838,Northeast,Cold,Cold,2006/5/28,148,9.887,1201.243,1.151,1.354,high,7.973,24.17,21.229,1.389,82.838,894.933,109.115,0.49175
20323660,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2008,5,11,Massachusetts,-70.87,42.261,0,1,8.012,-1.014,10.304,296.009,1499.642,8.424,50.341,Northeast,Cold,Cold,2008/5/11,132,9.887,1201.243,0.417,1.248,high,8.424,23.349,21.122,0.734,50.341,650.834,190.93,0.49175
20323661,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2008,5,11,Massachusetts,-70.872,42.263,0,1,8.012,-1.014,10.304,296.009,1499.642,8.424,50.341,Northeast,Cold,Cold,2008/5/11,132,9.887,1201.243,0.417,1.248,high,8.424,23.349,21.122,0.734,50.341,650.834,190.93,0.49175
20318385,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2010,5,5,Massachusetts,-70.989,42.327,0,1,11.457,-1.071,11.838,550.619,1404.433,9.393,86.567,Northeast,Cold,Cold,2010/5/5,125,10.369,1084.035,1.469,1.296,high,9.393,26.419,22.868,-0.368,86.567,715.835,169.407,0.42099
20318386,PreservedSpecimen,Hymenoptera,Andrenidae,Andrena ,Andrena_carlini,Generalist,2010,5,5,Massachusetts,-71.001,42.321,0,1,11.457,-1.071,11.838,550.619,1404.433,9.393,86.567,Northeast,Cold,Cold,2010/5/5,125,10.369,1084.035,1.469,1.296,high,9.393,26.419,22.868,-0.368,86.567,715.835,169.407,0.42099
