"","Andrena_carlini","Andrena_miserabilis","Osmia_atriventris","Osmia_bucephala","Osmia_lignaria","Osmia_pumila","Andrena_violae"
"100001",0,0,3.93630222338924e-05,0,0,0,0
"100002",0,0,0.000326462101685304,0,0,0,0
"100003",0,0,0,0,0,0,0
"100004",0,0,8.43213608997494e-05,0,0,0,0
"100005",0,0,8.8971006621333e-05,0,0,0,0
"100006",0,0,0,0,0,0,0
"100007",0,0,0,0,0,0,0
"100008",0,0,0,0,0,0,0
"100009",0,0,0,0,0,0,0
"100010",0,0,4.87419067722911e-05,0,0,0,0
"100011",0,0,0,0,0,0,0
"100012",0,0,0,0,0,0,0
"100013",0,0,0,0,0,0,0
"100014",0,0,0,0,0,0,0
"100015",0,0,0,0,0,0,0
"100016",0,0,0,0,0,0,0
"100017",0,0,0,0,0,0,0
"100018",0,0,0,0,0,0,0
"100019",0,0,0.000366596260977089,0,0,0,0
"100020",0,0,0.000225688052324212,0,0,0,0
"100021",0,0,0,0,0,0,0
"100022",0,0,0,0,0,0,0
"100023",0,0,0,0,0,0,0
"100024",0,0,0,0,0,0,0
"100025",0,0,0,0,0,0,0
"100026",0,0,0.000345491470027648,0,0,0,0
"100027",0,0,0,0,0,0,0
"100028",0,0,0,0,0,0,0
"100029",0,0,0,0,0,0,0
"100030",0,0,0,0,0,0,0
"100031",0,0,0,0,0,0,0
"100032",0,0,0,0,0,0,0
"100033",0,0,0,0,0,0,0
"100034",0,0,0,0,0,0,0
"100035",0,0,0,0,0,0,0
"100036",0,0,0,0,0,0,0
"100037",0,0,0,0,0,0,0
"100038",0,0,0,0,0,0,0
"100039",0,0,0,0,0,0,0
"100040",0,0,0,0,0,0,0
"100041",0,0,0,0,0,0,0
"100042",0,0,0,0,0,0,0
"100043",0,0,7.68888045658269e-05,8.71774465518397e-06,0,0,0
"100044",0,0,0.00015974282344518,4.47874787442089e-05,0,3.41034884554143e-05,0
"100045",0,0,0,0,0,0,0
"100046",0,0,7.48692943592159e-05,2.9867820133683e-06,0,0,0
"100047",0,0,0,0,0,0,0
"100048",0,0,0,0,0,0,0
"100049",0,0,9.37603786982442e-06,0,0,0,0
"100050",0,0,0,0,0,0,0
"100051",0,0,0,0,0,0,0
"100052",0,0,0.000137000571436027,8.08396579377551e-05,0,0.000107083221579519,0
"100053",0,0,0.000367180886035931,0.000312899161289896,0,0.000340760163940081,0
"100054",0,0,0,0,0,0,0
"100055",0,0,0,0,0,0,0
"100056",0,0,0,0,0,0,0
"100057",0,0,0,0,0,0,0
"100058",0,0,0.000109108269951879,6.09066959121632e-05,0,0.000106875030375355,0
"100059",0,0,0.000374432047629834,0.000263960803520767,0,0.000319472786600583,0
"100060",0,0,0,0,0,0,0
"100061",0,0,0,0,0,0,0
"100062",0,0,0,0,0,0,0
"100063",0,0,0,0,0,0,0
"100064",0,0,1.6784724302084e-05,0,0,2.93877556268128e-05,0
"100065",0,0,0,0,0,0,0
"100066",0,0,0,0,0,0,0
"100067",0,0,0,0,0,0,0
"100068",0,0,0,0,0,0,0
"100069",0,0,0.00014201970531588,5.42724264607384e-05,0,0.000166896830947871,0
"100070",0,0,0,0,0,0,0
"100071",0,0,1.39717802131345e-05,0,0,5.56788906676592e-05,0
"100072",0,0,0,0,0,0,0
"100073",0,0,0,0,0,0,0
"100074",0,0,0,0,0,0,0
"100075",0,0,0.00227627489796873,0.0019185840136062,0,0.00200899030397244,0
"100076",0,0,0.000508865384923731,0.000379143388140825,0,0.00037538240760221,0
"100077",0,0,0.000126527411932698,8.02104547694115e-05,0,0.000131500928204598,0
"100078",0,0,0,0,0,0,0
"100079",0,0,0,0,0,3.87928291914285e-05,0
"100080",0,0,0,0,0,0,0
"100081",0,0,0,0,0,0,0
"100082",0,0,0,0,0,0,0
"100083",0,0,0.00113850194867264,0.000987158617223354,0,0.00141967549646808,0
"100084",0,0,0.00187917594879095,0.00165547814039584,0,0.00194154450661372,0
"100085",0,0,0.00265677088751347,0.00229504765981987,0,0.00240499937902856,0
"100086",0,0,0.00193075402436082,0.00165472058636861,0,0.00181122597837624,0
"100087",0,0,0.00159293470922746,0.00132898698148286,0,0.00163643226240637,0
"100088",0,0,0.000832532530158872,0.000577527406196781,0,0.000945616990535817,0
"100089",0,0,0.0001404590559573,5.63934701903628e-05,0,0.000191084648223864,0
"100090",0,0,9.11571935877199e-05,4.73277803680036e-05,0,0.000106705656531586,0
"100091",0,0,9.50253795205249e-05,4.38095216493877e-05,0,8.21580769379459e-05,0
"100092",0,0,0,0,0,0,0
"100093",0,0,0,0,0,0,0
"100094",0,0,0,0,0,0,0
"100095",0,0,0,0,0,0,0
"100096",0,0,0.00254655738139895,0.00210969933586945,0,0.0027698799636591,0
"100097",0,0,0.00247201784962411,0.00208351632244426,0,0.00235283873527888,0
"100098",0,0,0.00188368774244717,0.00152435948114804,0,0.00230498848335099,0
"100099",0,0,0.00114714904619639,0.000960851857628042,0,0.00174811804038796,0
"100100",0,0,0.0012319329573346,0.00108752391928435,0,0.00162712920626264,0
"100101",0,0,0.00139049224602576,0.00123454655603502,0,0.00156659811545266,0
"100102",0,0,0.00217074760642617,0.00189163735593005,0,0.00225925889055121,0
"100103",0,0,0.00175332177060483,0.00148276250589719,0,0.00184827350542692,0
"100104",0,0,0.00125868464634313,0.00103717134838028,0,0.00136846165365248,0
"100105",0,0,0.0010759755038315,0.000839477556820966,0,0.0013348678971034,0
"100106",0,0,0,0,0,0.000147592351186265,0
"100107",0,0,0.000110467666919835,3.47499823533581e-05,0,0.000202653370167186,0
"100108",0,0,3.45828263004192e-05,0,0,0.0001168768571494,0
"100109",0,0,0,0,0,0,0
"100110",0,0,0,0,0,0,0
"100111",0,0,0,0,0,0,0
"100112",0,0,0.00263193393372311,0.00226625859567658,0,0.00357860622882494,0
"100113",0,0,0.00209065514952378,0.00178351020624638,0,0.00285266451530673,0
"100114",0,0,0.0015212000113606,0.00127392855832008,0,0.00235742327400998,0
"100115",0,0,0.00148178020296269,0.00120184092362834,0,0.00225406656336204,0
"100116",0,0,0.00286836883631937,0.00241787473306144,0,0.00318271075175737,0
"100117",0,0,0.002216968885443,0.00196079593812608,0,0.00276199028523679,0
"100118",0,0,0.0013198231055056,0.00114676752050341,0,0.00205209492062113,0
"100119",0,0,0.00134819992625933,0.00109620685616333,0,0.00197034388765543,0
"100120",0,0,0.000897244657826439,0.000637849598325032,0,0.00125039128498299,0
"100121",0,0,0.000175520636621564,3.69208602624474e-06,0,0.000683795859251533,0
"100122",0,0,0.000175547468410287,7.88200104816054e-06,0,0.000315054151064806,0
"100123",0,0,0.000154162485840124,0,0,0.000311022114509822,0
"100124",0,0,0.00013432834141523,2.70660135253636e-05,0,0.000316562267970812,0
"100125",0,0,0,0,0,0.000154905440635339,0
"100126",0,0,0,0,0,4.86478683927941e-05,0
"100127",0,0,0,0,0,0,0
"100128",0,0,0.000359998376707455,0,0,0.000179163468203508,0
"100129",0,0,0,0,0,0.000283639757961972,0
"100130",0,0,0,0,0,0.000278947963151718,0
"100131",0,0,0,0,0,0.000149646746235745,0
"100132",0,0,0,0,0,0,0
"100133",0,0,0,0,0,0,0
"100134",0,0,0,0,0,0,0
"100135",0,0,0,0,0,8.69472113092596e-05,0
"100136",0,0,0.0001690832702877,0,0,0.000288738531010801,0
"100137",0,0,0.000534733695054012,0.000351332019379593,0,0.000404183468417793,0
"100138",0,0,0.00206337376405578,0.00141661680735308,0,0.00116579924286771,0
"100139",0,0,0,0,0,0.000195906134423195,0
"100140",0,0,0.000146578353062793,0,0,0.000249724487582694,0
"100141",0,0,0,0,0,0.000164077090267143,0
"100142",0,0,0,0,0,0,0
"100143",0,0,0,0,0,0,0
"100144",0,0,0,0,0,0,0
"100145",0,0,0,0,0,0,0
"100146",0,0,3.14081166074591e-05,0,0,7.17338409033401e-05,0
"100147",0,0,0.000639466069791829,0.000436046049799926,0,0.000429484132242847,0
"100148",0,0,0.000816955246128238,0.000348534578919191,0,0.000367403262155208,0
"100149",0,0,0,0,0,0,0
"100150",0,0,0,0,0,5.09599582824566e-05,0
"100151",0,0,1.08510938714914e-06,0,0,0.00023026421309739,0
"100152",0,0,0,0,0,6.06024818633998e-06,0
"100153",0,0,0,0,0,0,0
"100154",0,0,0,0,0,0,0
"100155",0,0,0,0,0,0,0
"100156",0,0,0,0,0,0,0
"100157",0,0,0,0,0,0,0
"100158",0,0,5.57211279894935e-05,0,0,0,0
"100159",0,0,0,0,0,0,0
"100160",0,0,0.000162598496960294,0,0,0,0
"100161",0,0,0,0,0,0.000245499075950877,0
"100162",0,0,0,0,0,4.30118583216038e-05,0
"100163",0,0,0,0,0,0,0
"100164",0,0,0,0,0,0,0
"100165",0,0,0,0,0,0,0
"100166",0,0,0,0,0,0,0
"100167",0,0,0,0,0,0,0
"100168",0,0,0,0,0,0,0
"100169",0,0,0,0,0,0,0
"100170",0,0,0,0,0,0,0
"100171",0,0,0.00110563858115127,0.00016516306160627,0,0.000448159859691552,0
"100172",0,0,0,0,0,0,0
"100173",0,0,0,0,0,0,0
"100174",0,0,0,0,0,0,0
"100175",0,0,0,0,0,1.28272889244625e-05,0
