"","Andrena_carlini","Andrena_miserabilis","Osmia_atriventris","Osmia_bucephala","Osmia_lignaria","Osmia_pumila","Andrena_violae","latitude"
"100001",0,0,0,0,0,0.0169252267143026,0,25.316
"100002",0,0,0,0,0,0,0,25.329
"100003",0,0,0,0,0,0.0149390688841565,0,25.637
"100004",0,0,0,0,0,0,0,25.637
"100005",0,0,0,0,0,0,0,25.669
"100006",0,0,0,0,0,0.0292238055051473,0.0165884518679241,25.963
"100007",0,0,0,0,0,0,0,25.961
"100008",0,0,0,0,0,0,0,25.961
"100009",0,0,0,0,0,0,0,25.962
"100010",0,0,0.00118170194595492,0,0,0.0280278948355465,0,26.291
"100011",0,0,0,0,0,0.0240315117639354,0,26.283
"100012",0,0,0,0,0,0,0,26.283
"100013",0,0,0,0,0,0,0,26.283
"100014",0,0,0,0,0,0,0,26.284
"100015",0,0,0,0,0,0.00738017058787171,0,26.611
"100016",0,0,0,0,0,0.0176663711820966,0,26.605
"100017",0,0,0,0,0,0.00903078056266263,0,26.605
"100018",0,0,0,0,0,0,0,26.605
"100019",0,0,0,0,0,0,0,26.605
"100020",0,0,0,0,0,0,0,26.605
"100021",0,0,0,0,0,0,0,26.938
"100022",0,0,0,0,0,0,0,26.926
"100023",0,0,0,0,0,0,0,26.926
"100024",0,0,0,0,0,0,0,26.926
"100025",0,0,0,0,0,0,0,26.926
"100026",0,0,0,0,0,0.00384886007272335,0,26.924
"100027",0,0,0,0,0,0.0237728877249606,0,27.262
"100028",0,0,0,0,0,0.00416671330988623,0,27.246
"100029",0,0,0,0,0,0,0,27.246
"100030",0,0,0,0,0,0,0,27.246
"100031",0,0,0,0,0,0,0,27.246
"100032",0,0,0,0,0,0,0,27.246
"100033",0,0,0,0,0,0,0,27.231
"100034",0,0,0,0,0,0.0255141279967198,0,27.556
"100035",0,0,0,0,0,0.0194792640784372,0,27.565
"100036",0,0,0,0,0,0,0,27.565
"100037",0,0,0,0,0,0,0,27.565
"100038",0,0,0,0,0,0,0,27.565
"100039",0,0,0,0,0,0,0,27.565
"100040",0,0,0,0,0,0,0,27.903
"100041",0,0,0,0,0,0,0,27.883
"100042",0,0,0,0,0,0,0,27.883
"100043",0,0,0,0,0,0.0209244305968815,0,27.883
"100044",0,0,0.00947734020831178,0.00630617996659512,0,0.0303234617252502,0,27.883
"100045",0,0,0,0,0,0.0127601340655181,0,27.875
"100046",0,0,0,0,0,0.014477582124526,0,28.2
"100047",0,0,0,0,0,0.0202784387339965,0,28.2
"100048",0,0,0,0,0,0,0,28.2
"100049",0,0,0,0,0,0.00866431443758446,0,28.2
"100050",0,0,0,0,0,0.0146942511506126,0,28.2
"100051",0,0,0,0,0,0,0,28.193
"100052",0,0,0.0185036492912812,0.0151639523804956,0,0.0364506915529567,0,28.516
"100053",0,0.0119994263590359,0.0494975000962259,0.0450633849459578,0.0022724220483045,0.0584777912126967,0,28.516
"100054",0,0,0,0,0,0.0209348654360461,0,28.516
"100055",0,0,0,0,0,0.00925944667239123,0,28.516
"100056",0,0,0,0,0,0,0,28.516
"100057",0,0,0,0,0,0,0,28.511
"100058",0,0,0.0175881609605382,0.0144186728831286,0,0.0360432906131318,0,28.831
"100059",0,0,0.0226603367315281,0.0191881272443788,0,0.0385180683413752,0,28.831
"100060",0,0,0,0,0,0.0123484336555313,0,28.831
"100061",0,0,0,0,0,0,0,28.831
"100062",0,0,0,0,0,0,0,28.829
"100063",0,0,0,0,0,0.00986106182386253,0,29.174
"100064",0,0,0,0,0,0.0246071268952014,0,29.146
"100065",0,0,0,0,0,0.0214556627158276,0,29.146
"100066",0,0,0,0,0,0.00665422647071834,0,29.146
"100067",0,0,0,0,0,0,0,29.146
"100068",0,0,0,0,0,0,0,29.123
"100069",0,0,0.00765231037430846,0.00237689368139667,0,0.0298807969202545,0,29.476
"100070",0,0,0.0150269628504041,0.0110595829053968,0,0.0329587819448298,0,29.459
"100071",0,0,0,0,0,0.0266228231396153,0,29.459
"100072",0,0,0,0,0,0,0,29.459
"100073",0,0,0,0,0,0,0,29.459
"100074",0,0,0,0,0,0,0,29.458
"100075",0,0.0041688371085762,0.0389508940725549,0.0348825823649739,0,0.0499581175992258,0,29.824
"100076",0,0,0.0272641844620857,0.0230244477091032,0,0.0392133264974436,0,29.805
"100077",0,0,0.0232529728064253,0.0196382375710541,0,0.0382033733698153,0,29.771
"100078",0,0,0.00538913558482336,0,0,0.0257303745778837,0,29.771
"100079",0,0,0,0,0,0.0200059635540697,0,29.771
"100080",0,0,0,0,0,0.0076351313582109,0,29.771
"100081",0,0,0,0,0,0,0,29.771
"100082",0,0,0,0,0,0,0,29.763
"100083",0,0,0.0256314814868098,0.0224221806314534,0,0.0407691491002022,0,30.145
"100084",0,0.00799301572877889,0.0430298188148502,0.0387602827027501,0,0.0531127760021341,0,30.085
"100085",0,0.00836246315316538,0.0489951064926659,0.0440240569714641,0,0.0565391474019381,0,30.083
"100086",0,0.00656607598796401,0.0458781277506378,0.0411337354818462,0,0.0542269717588809,0,30.084
"100087",0,0,0.0219528391002846,0.0179728528813186,0,0.036073833714394,0,30.142
"100088",0,0,0.00881931737726719,0.00216811004241997,0,0.027693043863651,0,30.118
"100089",0,0,0.00502715796606224,0,0,0.0260939534872616,0,30.083
"100090",0,0,0.00521579668647799,0,0,0.0257718458514221,0,30.083
"100091",0,0,0,0,0,0.0206733757497315,0,30.083
"100092",0,0,0,0,0,0,0,30.083
"100093",0,0,0,0,0,0.00527591014492631,0,30.083
"100094",0,0,0,0,0,0,0,30.083
"100095",0,0,0,0,0,0,0,30.072
"100096",0,0.00757107907114706,0.0396556275918135,0.0358543125325066,0,0.0504697969101121,0,30.444
"100097",0,0.00860187826035678,0.0459843384847611,0.0415141043777741,0,0.0542656453874803,0,30.469
"100098",0,0.00298933489661495,0.0367672824756354,0.0329277182796227,0,0.0481500617846024,0,30.459
"100099",0,0.000406497899244371,0.0330402236783216,0.0295221988439317,0,0.0461095900278554,0,30.411
