"","Andrena_carlini","Andrena_miserabilis","Osmia_atriventris","Osmia_bucephala","Osmia_lignaria","Osmia_pumila","Andrena_violae"
"Viola_adunca",NA,0.332702600755118,0.587579437368533,0.594546550869904,NA,0.484282225747064,0.137978685030318
"Viola_affinis",0.930992230901577,0.894140997580229,0.887249364586593,0.889487399761916,NA,0.895245782653181,0.67915027936189
"Viola_bicolor",0.212567544154164,0.0924435529354253,0.0592393525228599,0.0616685438168367,0.213993836522396,0.0473180370039987,0.985800520311411
"Viola_brittoniana",0.462405243765585,0.304988891074525,NA,NA,0.443619627458164,NA,0.530771232013558
"Viola_canadensis",0.461150238605448,0.374233822357359,0.677996509582372,0.843921625929869,0.465916110248717,0.784247806822465,0.14253719458027
"Viola_hastata",0.251512988128565,0.00967657267323807,0.0722246828148765,0.0717022942138683,0.148451078717324,0.0615145237011879,NA
"Viola_hirsutula",0.817561562768551,0.560224188967104,0.0717121066838811,0.091079434916806,0.840039636110702,0.232547813744543,0.372005650532687
"Viola_labradorica",NA,0.597065992026006,0.86142899571001,0.861879014621057,NA,0.858279199011426,-0.00105058691310922
"Viola_lanceolata",0.750562240909327,0.791671521416794,0.91924852947036,NA,0.750817407877145,NA,0.634246948085067
"Viola_nephrophylla",0.329182167291053,0.328453581355628,0.687300994790235,0.672548697705164,0.355656992782517,0.468788261064958,0.0104895972719904
"Viola_odorata",0.331474337008059,0.203119447875783,0.41538413248624,0.397246711071379,0.297441522225883,0.372874078333686,0.23914847455959
"Viola_pedata",NA,0.495333318044501,0.170033549228952,0.218905915466806,NA,0.252943744387275,0.670809813761922
"Viola_renifolia",NA,NA,0.64899133569649,0.633296277788774,NA,0.587374365278635,NA
"Viola_rostrata",NA,NA,0.390063014895574,0.410610491819962,NA,0.42935168699493,0.56760547406157
"Viola_rotundifolia",0.819333044875834,0.859685290875723,0.871853498167868,0.869008473454882,0.803465327430356,0.854835206208664,0.810303354078443
"Viola_selkirkii",NA,0.126327453941209,0.670882656242749,0.68087170911815,NA,0.587032866613259,0.0217649526313716
"Viola_septemloba",NA,NA,0.0412527332281787,0.0379870633896305,NA,0.0404414406519464,NA
"Viola_septentrionalis",0.344596272159461,0.340945842217152,0.793730892201827,0.777014923581837,0.387178902144307,0.693180061928348,0.0367756922586383
"Viola_striata",0.753236287622958,0.491547257518151,0.373608220104815,0.347236124151304,0.736461715387264,0.598572389664115,0.273832884281312
"Viola_tricolor",0.267284760416024,0.267468652574832,0.531143502009815,0.5056297866376,0.276749586624441,0.456503927578479,0.071091101226434
"Viola_triloba",0.688962768506913,0.407639097557041,0.337283592332053,0.277853725004897,0.635900867884364,0.264759630083966,0.700183537680798
"Viola_tripartita",0.0315974921611031,0.0448336823153447,0.0765786330778506,0.0859445187820846,0.0311126364072912,0.133920295254378,0.417314934986223
"Viola_walteri",0.179342904374644,0.0639442134878435,0.0635664731795128,0.0618736333826315,0.166930816442668,0.0490869703142739,NA
