"","Andrena_carlini","Andrena_miserabilis","Osmia_atriventris","Osmia_bucephala","Osmia_lignaria","Osmia_pumila","Andrena_violae"
"Viola_adunca",NA,0.286699337692158,0.653827267814438,0.670189473153365,NA,0.604651081457319,0.310302955171664
"Viola_affinis",0.999258329173739,0.965325327579856,0.998388177582277,0.99849321617702,NA,0.998437615099187,0.998482452394019
"Viola_bicolor",0.298090491251119,0.116554482083789,0.0960532918801829,0.097121469158131,0.308518303971493,0.0767025547853051,0.999399365441315
"Viola_brittoniana",0.458406345839654,0.26027177011743,NA,NA,0.420905017126929,NA,0.586256910333056
"Viola_canadensis",0.492709223480137,0.408368336085927,0.616144595866189,0.825188438291668,0.521948511416552,0.808301585919911,0.193920238380766
"Viola_hastata",0.339728587203466,0.0644820172208385,0.10334682289849,0.102358865453641,0.288236210564563,0.0778125846248566,NA
"Viola_hirsutula",0.859056692921695,0.51980301637892,0.113077076216042,0.137599996192166,0.871300868784319,0.213959275779884,0.831690732647044
"Viola_labradorica",NA,0.815720806733109,0.971606689524675,0.973348325489196,NA,0.965691650163713,0.412205561086777
"Viola_lanceolata",0.956063817540124,0.954972284021304,0.985874187074053,NA,0.956622971078799,NA,0.713482457044138
"Viola_nephrophylla",0.377722913447357,0.345753086898995,0.700672253415148,0.691093666069705,0.449489166654303,0.55682324133904,0.15225172613037
"Viola_odorata",0.366019620054883,0.282790211177504,0.486399862117488,0.475617899877209,0.343598959183349,0.454203420686908,0.628144169983891
"Viola_pedata",NA,0.432703463316113,0.190801322202066,0.229206795995549,NA,0.23140476275536,0.971301825444686
"Viola_renifolia",NA,NA,0.691556626653148,0.686717085568607,NA,0.671609849898539,NA
"Viola_rostrata",NA,NA,0.412229234104478,0.422953462988262,NA,0.401033207746498,0.517275967023687
"Viola_rotundifolia",0.964226149709658,0.973543419131466,0.917886875911449,0.924079236529486,0.96397381082637,0.910250225688519,0.901573678575909
"Viola_selkirkii",NA,0.184840184547141,0.71309692812789,0.718173464450409,NA,0.66338661634154,0.287681581960838
"Viola_septemloba",NA,NA,0.0556932251266132,0.0538305176791825,NA,0.056568589168691,NA
"Viola_septentrionalis",0.387213775251856,0.369226733974471,0.868985919412982,0.870177046294985,0.502118307998264,0.818228353512524,0.279673354166862
"Viola_striata",0.762557418414258,0.48573199939364,0.43883398466869,0.406278872923151,0.793442345162538,0.566623443395961,0.552309336424085
"Viola_tricolor",0.30423537205516,0.309582172628396,0.532337799510102,0.49125706567291,0.315743664034857,0.438625297528569,0.0752654217519552
"Viola_triloba",0.755043456551166,0.402463856988541,0.399345346253237,0.314297250002319,0.724997643674356,0.319821622853553,0.919960873352316
"Viola_tripartita",0.113609399642964,0.107200908742185,0.118938332119547,0.130418259970869,0.141746680541058,0.129125014999908,0.554782742628728
"Viola_walteri",0.216540169192496,0.129611843778402,0.0949437398112766,0.0928257956256784,0.263539595280874,0.0748398063585144,NA
