Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100001,7.131 ,6.064 ,-1.066 ,4.269 ,-2.416 ,1.468 
100002,7.446 ,5.548 ,-1.483 ,4.960 ,-2.237 ,1.523 
100003,8.000 ,5.915 ,-0.870 ,3.716 ,-1.299 ,1.509 
100004,8.019 ,5.473 ,-0.999 ,4.944 ,-1.591 ,1.508 
100005,7.836 ,5.177 ,-0.437 ,5.491 ,-2.325 ,1.215 
100006,8.579 ,5.938 ,-0.006 ,2.763 ,-0.636 ,1.351 
100007,8.383 ,5.707 ,-0.235 ,3.103 ,-0.771 ,1.322 
100008,8.035 ,5.689 ,0.113 ,4.178 ,-1.886 ,1.082 
100009,7.677 ,4.232 ,0.863 ,5.259 ,-2.467 ,0.389 
100010,9.105 ,5.827 ,0.762 ,1.730 ,-0.158 ,0.973 
100011,8.753 ,5.752 ,0.444 ,1.928 ,0.248 ,1.232 
100012,8.233 ,5.424 ,0.288 ,2.320 ,-0.118 ,1.114 
100013,7.828 ,5.021 ,0.552 ,3.169 ,-1.138 ,0.755 
100014,7.523 ,4.025 ,1.332 ,4.160 ,-2.034 ,0.061 
100015,8.946 ,5.760 ,0.883 ,1.732 ,-0.184 ,0.924 
100016,9.261 ,5.628 ,0.948 ,1.119 ,0.469 ,0.974 
100017,8.690 ,5.469 ,0.566 ,0.972 ,0.838 ,1.198 
100018,7.765 ,5.108 ,-0.310 ,1.594 ,0.412 ,1.220 
100019,7.014 ,4.428 ,-0.480 ,3.547 ,-0.013 ,1.120 
100020,7.179 ,3.843 ,0.875 ,3.575 ,-1.875 ,0.045 
100021,8.652 ,5.480 ,1.019 ,0.430 ,0.347 ,0.845 
100022,8.655 ,5.505 ,1.171 ,0.438 ,0.982 ,0.998 
100023,8.364 ,5.391 ,0.711 ,0.109 ,1.056 ,1.105 
100024,7.363 ,5.823 ,-0.127 ,0.713 ,-0.737 ,1.028 
100025,6.688 ,4.820 ,-0.249 ,2.325 ,-0.924 ,0.684 
100026,6.948 ,3.505 ,0.745 ,2.896 ,-1.545 ,-0.083 
100027,9.159 ,4.737 ,1.478 ,-0.065 ,0.247 ,0.516 
100028,8.829 ,4.755 ,1.165 ,-0.181 ,0.970 ,0.726 
100029,8.209 ,4.941 ,0.858 ,-0.130 ,1.291 ,0.920 
100030,7.876 ,5.113 ,0.324 ,0.140 ,1.259 ,1.118 
100031,7.366 ,5.144 ,-0.152 ,0.102 ,0.752 ,1.019 
100032,6.844 ,4.072 ,-0.093 ,0.936 ,-0.056 ,0.412 
100033,6.950 ,3.167 ,0.539 ,1.940 ,-1.126 ,-0.172 
100034,8.563 ,4.700 ,1.304 ,0.118 ,-0.328 ,0.437 
100035,8.613 ,4.445 ,1.014 ,-0.210 ,0.633 ,0.659 
100036,8.205 ,4.589 ,0.777 ,-0.335 ,1.009 ,0.784 
100037,7.654 ,4.896 ,0.339 ,-0.046 ,0.926 ,0.922 
100038,7.296 ,4.778 ,0.127 ,0.256 ,0.775 ,0.857 
100039,6.788 ,3.841 ,0.027 ,1.030 ,-0.235 ,0.358 
100040,7.965 ,4.208 ,1.220 ,0.164 ,-0.716 ,0.248 
100041,8.397 ,4.049 ,1.129 ,-0.296 ,0.309 ,0.411 
100042,8.076 ,4.263 ,0.868 ,-0.151 ,0.841 ,0.528 
