Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100001,6.489 ,7.053 ,-0.168 ,2.136 ,-4.307 ,-0.959 
100002,6.861 ,6.602 ,-0.462 ,3.223 ,-4.261 ,-0.786 
100003,7.428 ,6.652 ,-0.035 ,2.251 ,-2.919 ,-0.881 
100004,7.450 ,6.248 ,0.017 ,3.522 ,-3.451 ,-0.595 
100005,7.345 ,5.889 ,0.759 ,3.668 ,-4.294 ,-0.476 
100006,8.157 ,6.194 ,0.896 ,1.637 ,-1.794 ,-0.657 
100007,7.924 ,6.089 ,0.612 ,1.865 ,-2.166 ,-0.845 
100008,7.527 ,6.078 ,1.086 ,2.425 ,-3.361 ,-0.339 
100009,7.200 ,4.565 ,1.893 ,2.892 ,-4.492 ,-0.549 
100010,8.928 ,5.550 ,1.744 ,0.921 ,-0.848 ,-0.419 
100011,8.490 ,5.679 ,1.344 ,1.083 ,-0.838 ,-1.085 
100012,7.882 ,5.463 ,1.084 ,1.129 ,-1.512 ,-1.303 
100013,7.398 ,5.076 ,1.335 ,1.462 ,-2.645 ,-0.881 
100014,7.137 ,4.076 ,2.200 ,1.795 ,-3.884 ,-0.810 
100015,8.930 ,5.306 ,1.995 ,1.015 ,-0.739 ,-0.230 
100016,9.208 ,5.102 ,1.883 ,0.574 ,-0.164 ,-0.645 
100017,8.544 ,5.153 ,1.322 ,0.277 ,-0.252 ,-1.560 
100018,7.464 ,5.149 ,0.369 ,0.598 ,-1.160 ,-1.942 
100019,6.608 ,4.779 ,0.391 ,2.153 ,-2.288 ,-2.110 
100020,6.884 ,3.969 ,1.768 ,1.481 ,-3.653 ,-0.921 
100021,8.636 ,5.111 ,1.814 ,-0.211 ,-0.123 ,-0.785 
100022,8.606 ,5.101 ,1.946 ,-0.229 ,0.181 ,-1.424 
100023,8.226 ,5.055 ,1.294 ,-0.622 ,0.069 ,-1.822 
100024,7.042 ,5.907 ,0.435 ,-0.646 ,-1.704 ,-1.322 
